ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
2,"$10-20k",2017,"2017","true","true",19419097,100828.64289688613,174077,"United States","01000US","united-states",0.13146105803614883
9,"$80-90k",2017,"2017","true","true",151389,9341.859067077898,1502,"Washington","04000US53","washington",0.04363695794290695
13,"$120-130k",2017,"2017","true","true",2195301,36105.25742966405,22483,"United States","01000US","united-states",0.014861483629636102
15,"$140-150k",2017,"2017","true","true",30267,4252.621022444457,318,"Washington","04000US53","washington",0.008724278554306884
7,"$60-70k",2017,"2017","true","true",9664187,73784.45296739333,94850,"United States","01000US","united-states",0.06542344621272528
8,"$70-80k",2017,"2017","true","true",195836,10553.677533471064,1888,"Washington","04000US53","washington",0.05644853520207628
14,"$130-140k",2017,"2017","true","true",1219921,27004.73137246179,12557,"United States","01000US","united-states",0.008258473881690622
18,"$170-180k",2017,"2017","true","true",17540,3243.3133960435503,163,"Washington","04000US53","washington",0.005055798256931402
4,"$30-40k",2017,"2017","true","true",19361189,100700.91268385526,177684,"United States","01000US","united-states",0.13106903945007567
7,"$60-70k",2017,"2017","true","true",254620,11925.288167512565,2474,"Washington","04000US53","washington",0.07339266546065414
15,"$140-150k",2017,"2017","true","true",904007,23271.676250956258,9403,"United States","01000US","united-states",0.006119837430756166
14,"$130-140k",2017,"2017","true","true",38305,4778.5000547305535,383,"Washington","04000US53","washington",0.011041183137500419
8,"$70-80k",2017,"2017","true","true",6984904,63333.91769854133,69155,"United States","01000US","united-states",0.04728555967977955
6,"$50-60k",2017,"2017","true","true",295592,12766.844202592005,2874,"Washington","04000US53","washington",0.08520259511760928
16,"$150-160k",2017,"2017","true","true",1245986,27289.272032850113,12803,"United States","01000US","united-states",0.008434925571370745
21,"$200k+",2017,"2017","true","true",101512,7706.991236463416,1045,"Washington","04000US53","washington",0.029260216229054756
1,"< $10K",2017,"2017","true","true",17420601,96240.39310153254,169617,"United States","01000US","united-states",0.11793188113152697
5,"$40-50k",2017,"2017","true","true",354980,13859.171735987577,3357,"Washington","04000US53","washington",0.1023208247004281
17,"$160-170k",2017,"2017","true","true",627113,19400.987294806786,6576,"United States","01000US","united-states",0.004245353864199937
13,"$120-130k",2017,"2017","true","true",69061,6387.41249778812,694,"Washington","04000US53","washington",0.01990641296590305
