ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Nation,Nation,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,Geography,ID Geography,Slug Geography
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","299000","Other healthcare practitioners & technical Occupations",2014,"2014","01000US","United States","true","true",3571,1466.3164082891174,62025.70708485018,15914.700908739223,39,"other-healthcare-practitioners-technical-occupations","Washington","04000US53","washington"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292090","Miscellaneous health technologists & technicians",2014,"2014","01000US","United States","true","true",4217,1593.2750844806028,46643.0765947356,10414.062877798757,34,"miscellaneous-health-technologists-technicians","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519071","Jewelers & precious stone & metal workers",2014,"2014","01000US","United States","true","true",835,709.3514105028895,36855.94131736527,13172.007438152945,8,"jewelers-precious-stone-metal-workers","Washington","04000US53","washington"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292081","Opticians, dispensing",2014,"2014","01000US","United States","true","true",803,695.6297374536385,40421.140722291406,13508.4088315139,9,"opticians-dispensing","Washington","04000US53","washington"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292071","Medical records & health information technicians",2014,"2014","01000US","United States","true","true",4395,1626.5084813626113,41342.55790671217,10251.393286247303,50,"medical-records-health-information-technicians","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519080","Medical, dental, & ophthalmic laboratory technicians",2014,"2014","01000US","United States","true","true",1993,1095.704348728538,37479.35825388861,9000.202237703154,17,"medical-dental-ophthalmic-laboratory-technicians","Washington","04000US53","washington"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292061","Licensed practical & licensed vocational nurses",2014,"2014","01000US","United States","true","true",15159,3015.6498983987954,35897.150405699584,6307.683718301,133,"licensed-practical-licensed-vocational-nurses","Washington","04000US53","washington"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292050","Health practitioner support technologists & technicians",2014,"2014","01000US","United States","true","true",12322,2720.0645857180307,47656.16815452037,12602.183596690544,102,"health-practitioner-support-technologists-technicians","Washington","04000US53","washington"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292041","Emergency medical technicians & paramedics",2014,"2014","01000US","United States","true","true",3970,1545.9696639638996,62504.51863979849,12805.620319743888,33,"emergency-medical-technicians-paramedics","Washington","04000US53","washington"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292030","Diagnostic related technologists & technicians",2014,"2014","01000US","United States","true","true",6152,1923.8263234929059,63820.46927828348,17837.685153877595,69,"diagnostic-related-technologists-technicians","Washington","04000US53","washington"
"510000-530000","Production, Transportation, & Material Moving Occupations","510000","Production Occupations","510000","Production Occupations","519111","Packaging & filling machine operators & tenders",2014,"2014","01000US","United States","true","true",3014,1347.231275445952,14716.850364963504,4976.66594774969,27,"packaging-filling-machine-operators-tenders","Washington","04000US53","washington"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292021","Dental hygienists (Legacy)",2014,"2014","01000US","United States","true","true",4617,1667.0236959539448,51833.591726229155,7814.874340088122,46,"dental-hygienists","Washington","04000US53","washington"
"110000-290000","Management, business, science, & arts occupations","290000","Healthcare practitioners & technical occupations","290000","Healthcare practitioners & technical occupations","292010","Clinical laboratory technologists & technicians",2014,"2014","01000US","United States","true","true",5524,1823.1699110510826,49523.63595220855,8921.72121732499,54,"clinical-laboratory-technologists-technicians","Washington","04000US53","washington"
